variable_grupo,grupos_incluidos,n_total_en_grupos,demographic_parity_difference,disparate_impact_ratio_min_max,equal_opportunity_difference_tpr,fpr_difference,f1_gap
category_id,8,13457,0.7800498531113682,0.2064427901247985,0.566342520952957,0.788965846668259,0.4841201716738197
country,23,10240,0.5090882162860835,0.14747925685425686,0.8107444306074444,0.44348820009413026,0.702155350910059
duration_bucket,1,13706,0.0,1.0,0.0,0.0,0.0
source_file,2,13706,0.21944588687608368,0.5788584927117459,0.43561176008520985,0.027011122489607298,0.3593697619845793
